FechaHora,Nitrogeno,Fosforo,Potasio,Conductividad_Electrica,pH,Humedad,Temperatura,m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],tz (T Amb superficie) [C]
2020-01-04 00:04:25,183.22,68.89,251.83,3.96,6.63,65.22,17.5,57.46,55.04,75.6,75.53,75.0,18.25
2020-01-04 05:54:48,178.92,67.03,248.92,3.89,6.34,64.3,17.56,57.27,54.64,75.62,75.54,75.22,17.12
2020-01-04 11:55:11,179.4,70.55,250.71,3.92,6.56,63.72,17.56,57.21,54.32,75.67,75.58,75.62,17.68
2020-01-04 17:55:33,177.37,72.04,247.3,4.03,6.47,63.19,17.56,57.43,54.12,71.4,75.56,75.71,19.68
2020-01-04 23:55:56,176.98,69.26,247.67,3.97,6.52,62.85,17.56,57.2,54.09,69.93,73.85,44.22,18.62
2020-01-05 00:05:57,176.49,70.14,245.85,3.97,6.58,62.84,17.56,57.23,54.08,69.91,73.83,44.12,18.62
2020-01-05 05:56:20,173.27,69.18,247.41,3.89,6.56,62.62,17.62,56.74,53.92,69.15,73.33,43.02,17.75
2020-01-05 11:56:43,174.05,68.89,245.36,3.87,6.52,78.12,17.68,60.94,57.86,75.06,75.67,79.99,17.93
2020-01-05 17:57:06,175.79,71.1,248.03,3.91,6.66,66.86,17.68,59.15,55.82,75.05,75.67,79.97,18.18
2020-01-05 23:57:29,171.55,69.62,246.1,3.84,6.38,65.19,17.68,58.62,55.26,75.06,75.68,79.99,17.37
2020-01-06 00:07:30,171.13,69.42,245.87,3.84,6.32,65.15,17.68,58.58,55.25,75.06,75.68,79.99,17.31
2020-01-06 05:57:53,170.8,69.48,245.09,3.78,6.44,64.22,17.68,58.14,54.86,75.04,75.67,79.99,16.62
2020-01-06 11:58:16,170.77,69.41,243.26,3.93,6.53,63.65,17.68,57.87,54.55,72.76,75.66,80.01,18.0
2020-01-06 17:58:39,170.34,67.54,244.13,4.03,6.6,63.16,17.62,57.85,54.41,70.53,75.32,61.8,19.87
2020-01-06 23:59:02,170.74,69.0,245.37,3.96,6.46,62.87,17.62,57.45,54.34,69.58,73.12,43.98,18.25
2020-01-07 00:09:02,168.83,70.91,243.0,3.96,6.52,62.87,17.62,57.44,54.34,69.56,73.12,43.96,18.18
2020-01-07 05:59:25,167.24,69.87,241.38,3.88,6.54,62.68,17.62,57.31,54.14,68.97,72.92,43.64,16.56
2020-01-07 11:49:47,168.32,68.37,240.0,3.92,6.41,62.47,17.68,57.02,53.88,68.55,72.82,43.42,18.06
2020-01-07 17:50:10,166.81,69.1,240.67,4.03,6.53,79.57,17.68,65.44,60.43,75.25,76.01,56.8,20.37
2020-01-07 23:50:33,162.77,70.16,239.19,3.97,6.55,68.51,17.81,60.37,56.8,75.25,75.82,79.21,18.5
2020-01-08 00:00:34,168.23,69.15,241.47,3.96,6.64,68.33,17.81,60.32,56.76,75.25,75.81,79.21,18.43
2020-01-08 05:50:56,166.75,71.35,240.92,3.89,6.57,65.87,17.81,59.36,55.9,75.3,75.76,79.23,17.37
2020-01-08 11:51:20,163.05,69.01,238.8,3.91,6.52,64.71,17.87,58.96,55.42,75.33,75.8,79.28,17.68
2020-01-08 17:51:42,163.05,68.86,239.75,4.03,6.61,63.98,17.87,58.81,55.11,74.72,75.76,79.29,20.25
2020-01-08 23:52:05,163.88,67.41,238.12,3.97,6.64,63.56,17.87,58.67,54.98,70.6,74.78,57.1,18.56
2020-01-09 00:02:06,160.62,66.72,238.24,3.96,6.55,63.54,17.87,58.65,54.98,70.58,74.74,52.4,18.5
2020-01-09 05:52:29,161.47,69.5,238.31,3.88,6.49,63.29,17.87,58.37,54.73,69.69,73.76,45.4,16.75
2020-01-09 11:52:52,161.33,67.95,237.19,4.0,6.52,78.62,17.93,64.94,60.26,74.85,75.87,52.16,19.25
2020-01-09 17:53:15,157.48,67.5,237.47,4.03,6.53,67.62,17.93,60.62,56.6,74.69,75.72,51.42,21.0
2020-01-09 23:53:38,157.19,68.84,234.82,3.97,6.65,65.58,17.93,59.82,56.05,74.73,75.72,51.26,18.81
2020-01-10 00:03:39,158.57,67.53,236.29,3.96,6.58,65.54,17.93,59.8,56.04,74.73,75.71,51.23,18.75
2020-01-10 05:54:02,157.16,68.87,235.69,3.88,6.55,64.65,17.93,59.13,55.56,74.72,75.71,50.94,16.62
2020-01-10 11:54:24,157.1,68.3,232.99,3.99,6.71,64.08,18.0,58.79,55.12,74.73,75.73,50.79,18.12
