FechaHora,Nitrogeno,Fosforo,Potasio,Conductividad_Electrica,pH,Humedad,Temperatura
01-01-2023,183.22,68.89,251.83,0.92,6.63,70.11,25.56
01-01-2023,178.92,67.03,248.92,1.03,6.34,70.54,25.83
01-01-2023,179.4,70.55,250.71,1.59,6.56,65.44,21.41
02-01-2023,177.37,72.04,247.3,1.33,6.47,60.02,21.68
02-01-2023,176.98,69.26,247.67,0.94,6.52,67.05,22.41
02-01-2023,176.49,70.14,245.85,0.81,6.58,68.19,19.22
03-01-2023,173.27,69.18,247.41,1.04,6.56,73.9,19.17
03-01-2023,174.05,68.89,245.36,0.99,6.52,73.46,20.47
03-01-2023,175.79,71.1,248.03,0.97,6.66,69.14,22.65
04-01-2023,171.55,69.62,246.1,1.19,6.38,72.62,24.93
04-01-2023,171.13,69.42,245.87,1.04,6.32,65.02,25.55
04-01-2023,170.8,69.48,245.09,1.15,6.44,67.38,25.58
05-01-2023,170.77,69.41,243.26,1.06,6.53,69.91,21.47
05-01-2023,170.34,67.54,244.13,1.58,6.6,79.98,19.64
05-01-2023,170.74,69.0,245.37,0.72,6.46,63.52,19.5
06-01-2023,168.83,70.91,243.0,1.35,6.52,73.13,24.49
06-01-2023,167.24,69.87,241.38,0.57,6.54,73.6,24.09
06-01-2023,168.32,68.37,240.0,1.23,6.41,61.81,19.27
07-01-2023,166.81,69.1,240.67,0.83,6.53,71.25,23.98
07-01-2023,162.77,70.16,239.19,1.09,6.55,73.93,21.78
07-01-2023,168.23,69.15,241.47,1.43,6.64,69.24,23.73
08-01-2023,166.75,71.35,240.92,1.14,6.57,72.0,20.52
08-01-2023,163.05,69.01,238.8,1.24,6.52,67.54,19.18
08-01-2023,163.05,68.86,239.75,1.31,6.61,59.82,22.54
09-01-2023,163.88,67.41,238.12,1.06,6.64,56.28,25.14
09-01-2023,160.62,66.72,238.24,0.92,6.55,69.33,25.92
09-01-2023,161.47,69.5,238.31,1.1,6.49,73.32,23.59
10-01-2023,161.33,67.95,237.19,1.16,6.52,69.65,21.63
10-01-2023,157.48,67.5,237.47,1.16,6.53,73.45,22.27
10-01-2023,157.19,68.84,234.82,1.39,6.65,75.49,23.97
11-01-2023,158.57,67.53,236.29,0.94,6.58,77.38,22.33
11-01-2023,157.16,68.87,235.69,1.28,6.55,72.63,21.34
