FechaHora,Nitrogeno,Fosforo,Potasio,Conductividad_Electrica,pH,Humedad,Temperatura,m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],tz (T Amb superficie) [C]
04-01-2020 00:04:25,183.22,68.89,251.83,3.96,6.63,65.22,17.5,57.46,55.04,75.6,75.53,75.0,18.25
04-01-2020 05:54:48,178.92,67.03,248.92,3.89,6.34,64.3,17.56,57.27,54.64,75.62,75.54,75.22,17.12
04-01-2020 11:55:11,179.4,70.55,250.71,3.92,6.56,63.72,17.56,57.21,54.32,75.67,75.58,75.62,17.68
04-01-2020 17:55:33,177.37,72.04,247.3,4.03,6.47,63.19,17.56,57.43,54.12,71.4,75.56,75.71,19.68
04-01-2020 23:55:56,176.98,69.26,247.67,3.97,6.52,62.85,17.56,57.2,54.09,69.93,73.85,44.22,18.62
05-01-2020 00:05:57,176.49,70.14,245.85,3.97,6.58,62.84,17.56,57.23,54.08,69.91,73.83,44.12,18.62
05-01-2020 05:56:20,173.27,69.18,247.41,3.89,6.56,62.62,17.62,56.74,53.92,69.15,73.33,43.02,17.75
05-01-2020 11:56:43,174.05,68.89,245.36,3.87,6.52,78.12,17.68,60.94,57.86,75.06,75.67,79.99,17.93
05-01-2020 17:57:06,175.79,71.1,248.03,3.91,6.66,66.86,17.68,59.15,55.82,75.05,75.67,79.97,18.18
05-01-2020 23:57:29,171.55,69.62,246.1,3.84,6.38,65.19,17.68,58.62,55.26,75.06,75.68,79.99,17.37
06-01-2020 00:07:30,171.13,69.42,245.87,3.84,6.32,65.15,17.68,58.58,55.25,75.06,75.68,79.99,17.31
06-01-2020 05:57:53,170.8,69.48,245.09,3.78,6.44,64.22,17.68,58.14,54.86,75.04,75.67,79.99,16.62
06-01-2020 11:58:16,170.77,69.41,243.26,3.93,6.53,63.65,17.68,57.87,54.55,72.76,75.66,80.01,18.0
06-01-2020 17:58:39,170.34,67.54,244.13,4.03,6.6,63.16,17.62,57.85,54.41,70.53,75.32,61.8,19.87
06-01-2020 23:59:02,170.74,69.0,245.37,3.96,6.46,62.87,17.62,57.45,54.34,69.58,73.12,43.98,18.25
07-01-2020 00:09:02,168.83,70.91,243.0,3.96,6.52,62.87,17.62,57.44,54.34,69.56,73.12,43.96,18.18
07-01-2020 05:59:25,167.24,69.87,241.38,3.88,6.54,62.68,17.62,57.31,54.14,68.97,72.92,43.64,16.56
