Fecha,Hora,v4 (Voltaje) [V],m8 (10 cm) [mm],m8 (20 cm) [mm],m8 (40 cm) [mm],m8 (60 cm) [mm],m8 (80 cm) [mm],m8 (100 cm) [mm],t7 (60 cm) [C],tz (T Amb superficie) [C],v7 (Voltaje) [V]
2020-01-04,00:09:29,6.33,65.87,70.16,68.78,67.42,42.74,43.65,16.43,16.18,
2020-01-04,05:59:46,6.3,65.51,69.93,68.65,67.43,42.76,43.74,16.5,15.25,
2020-01-04,12:00:04,6.61,65.44,69.76,68.54,67.44,42.81,43.82,16.5,16.62,
2020-01-04,17:50:22,6.58,65.58,69.87,68.46,67.42,42.83,43.86,16.43,19.81,
2020-01-04,23:50:40,6.33,64.87,69.82,68.47,67.4,42.85,43.89,16.5,17.0,
2020-01-05,00:00:40,6.33,64.87,69.81,68.46,67.41,42.85,43.89,16.5,17.0,
2020-01-05,05:50:57,6.3,64.46,69.56,68.44,67.43,42.87,43.93,16.62,15.62,
2020-01-05,11:51:15,6.65,64.26,69.37,68.37,67.46,42.9,43.95,16.62,15.62,
2020-01-05,17:51:34,6.59,64.19,69.28,68.3,67.44,42.91,43.96,16.62,16.87,
2020-01-05,23:51:51,6.34,63.9,69.19,68.26,67.42,42.92,43.97,16.56,14.87,
2020-01-06,00:01:52,6.34,63.89,69.19,68.26,67.41,42.92,43.96,16.56,14.87,
2020-01-06,05:52:09,6.29,63.69,69.0,68.18,67.39,42.93,43.98,16.56,14.5,
2020-01-06,11:52:27,6.58,63.81,68.92,68.12,67.36,42.93,43.98,16.5,16.93,
2020-01-06,17:52:46,6.57,63.95,69.08,68.1,67.3,42.91,43.96,16.37,19.18,
2020-01-06,23:53:04,6.32,63.38,69.0,68.15,67.29,42.92,43.94,16.37,16.12,
2020-01-07,00:03:04,6.32,63.35,68.98,68.14,67.29,42.91,43.94,16.37,16.06,
2020-01-07,05:43:21,6.29,62.95,68.69,68.12,67.3,42.91,43.93,16.5,14.37,
2020-01-07,11:33:38,6.56,62.99,68.5,68.05,67.3,42.92,43.93,16.5,16.81,
2020-01-07,17:43:57,6.57,70.42,70.26,69.91,67.3,42.9,43.9,16.5,19.68,
2020-01-07,23:54:15,6.32,66.69,70.12,69.23,67.31,42.95,43.97,16.5,16.37,
2020-01-08,00:04:16,6.32,66.66,70.12,69.23,67.31,42.96,43.97,16.5,16.31,
2020-01-08,05:54:33,6.28,66.04,69.87,68.98,67.36,43.01,44.06,16.62,15.43,
2020-01-08,11:54:51,6.61,65.82,69.71,68.82,67.37,43.05,44.11,16.68,16.5,
2020-01-08,17:55:09,6.57,65.78,69.81,68.69,67.37,43.06,44.13,16.62,19.06,
2020-01-08,23:55:27,6.33,65.05,69.69,68.68,67.35,43.07,44.14,16.62,16.37,
2020-01-09,00:05:28,6.33,65.03,69.68,68.68,67.35,43.07,44.15,16.62,16.31,
2020-01-09,05:55:45,6.28,64.51,69.39,68.61,67.37,43.08,44.16,16.75,14.5,
2020-01-09,11:56:03,6.57,64.55,69.21,68.5,67.37,43.11,44.18,16.75,17.43,
2020-01-09,17:56:21,6.54,64.76,69.43,68.44,67.33,43.11,44.16,16.68,20.43,
